Course Code,Section Code,Instructor,Comment Type,Comment Text
IST3005,A,"Afundi, Patrick",Course Text,per week?
IST3005,A,"Afundi, Patrick",Strengths,N/A
IST3005,A,"Afundi, Patrick",Strengths,ok
IST3005,A,"Afundi, Patrick",Strengths,n/a
IST3005,A,"Afundi, Patrick",Strengths,Good
IST3005,A,"Afundi, Patrick",Strengths,Good
IST3005,A,"Afundi, Patrick",Strengths,good
IST3005,A,"Afundi, Patrick",Strengths,N/A
IST3005,A,"Afundi, Patrick",Strengths,.
IST3005,A,"Afundi, Patrick",Strengths,PowerPoints .
IST3005,A,"Afundi, Patrick",Weaknesses,n/a
IST3005,A,"Afundi, Patrick",Weaknesses,N/A
IST3005,A,"Afundi, Patrick",Weaknesses,ok
IST3005,A,"Afundi, Patrick",Weaknesses,n/a
IST3005,A,"Afundi, Patrick",Weaknesses,None
IST3005,A,"Afundi, Patrick",Weaknesses,.
IST3005,A,"Afundi, Patrick",Weaknesses,N/A
IST3005,A,"Afundi, Patrick",Weaknesses,None
IST3005,A,"Afundi, Patrick",Weaknesses,n/a
IST3005,A,"Afundi, Patrick",Weaknesses,Fair
IST3005,A,"Afundi, Patrick",Weaknesses,N/A
IST3005,A,"Afundi, Patrick",Weaknesses,n/a
IST3005,A,"Afundi, Patrick",Weaknesses,good
IST3005,A,"Afundi, Patrick",Weaknesses,nil
IST3005,A,"Afundi, Patrick",Weaknesses,NONE
IST3005,A,"Afundi, Patrick",Weaknesses,N/A
IST3005,A,"Afundi, Patrick",Weaknesses,Excellent
IST3005,A,"Afundi, Patrick",Weaknesses,none
IST3005,A,"Afundi, Patrick",Weaknesses,.
IST3005,A,"Afundi, Patrick",Weaknesses,none
IST3005,A,"Afundi, Patrick",Weaknesses,Na
IST3005,A,"Afundi, Patrick",Weaknesses,n/a
IST3005,A,"Afundi, Patrick",Suggestions,improve his/her teaching in this course.
IST3005,A,"Afundi, Patrick",Suggestions,n/a
IST3005,A,"Afundi, Patrick",Suggestions,none
IST3005,A,"Afundi, Patrick",Suggestions,none
IST3005,A,"Afundi, Patrick",Suggestions,Na
IST3005,A,"Afundi, Patrick",Suggestions,nil
IST3005,A,"Afundi, Patrick",Suggestions,none
IST3005,A,"Afundi, Patrick",Suggestions,N/A
IST3005,A,"Afundi, Patrick",Suggestions,N/A
IST3005,A,"Afundi, Patrick",Suggestions,Good
IST3005,A,"Afundi, Patrick",Suggestions,Good
IST3005,A,"Afundi, Patrick",Suggestions,N/A
IST3005,A,"Afundi, Patrick",Suggestions,ok
IST3005,A,"Afundi, Patrick",Suggestions,None
IST3005,A,"Afundi, Patrick",Suggestions,NONE
IST3005,A,"Afundi, Patrick",Suggestions,None
IST3005,A,"Afundi, Patrick",Suggestions,good
IST3005,A,"Afundi, Patrick",Suggestions,.
IST3005,A,"Afundi, Patrick",Suggestions,n/a
IST3005,A,"Afundi, Patrick",Suggestions,Uploading material on blackboard so students can use it as a guide when studying outside class .
IST3005,A,"Afundi, Patrick",Suggestions,n/a
IST3005,A,"Afundi, Patrick",Feedback Evaluation,Excellent
IST3005,A,"Afundi, Patrick",Feedback Evaluation,Good
IST3005,A,"Afundi, Patrick",Feedback Evaluation,fair
IST3005,A,"Afundi, Patrick",Feedback Evaluation,good
IST3005,A,"Afundi, Patrick",Feedback Evaluation,None
IST3005,A,"Afundi, Patrick",Feedback Evaluation,ok
IST3005,A,"Afundi, Patrick",Feedback Evaluation,GOOD
IST3005,A,"Afundi, Patrick",Feedback Evaluation,None
IST3005,A,"Afundi, Patrick",Feedback Evaluation,good
IST3005,A,"Afundi, Patrick",Feedback Evaluation,N/A
IST3005,A,"Afundi, Patrick",Feedback Evaluation,n/a
IST3005,A,"Afundi, Patrick",Feedback Evaluation,Good
IST3005,A,"Afundi, Patrick",Feedback Evaluation,.
IST3005,A,"Afundi, Patrick",Feedback Evaluation,N/A
IST3005,A,"Afundi, Patrick",Feedback Evaluation,n/a
IST3005,A,"Afundi, Patrick",Feedback Evaluation,hard but
IST3005,A,"Afundi, Patrick",Feedback Evaluation,fair
IST3005,A,"Afundi, Patrick",Feedback Evaluation,.
IST3005,A,"Afundi, Patrick",Feedback Evaluation,Poor
