Course Code,Section Code,Instructor,Comment Type,Comment Text
IST3005,A,"Afundi, Patrick",Course Text,My rating of the course text for this course 13 13 3 0 0 29
IST3005,A,"Afundi, Patrick",Course Text,The lecturer attended all the class sessions. 4.45 4.41 4.48
IST3005,A,"Afundi, Patrick",Course Text,evaluation and discussed the results in class. 48.3% 27.6% 10.3% 6.9% 6.9% 100.0%
IST3005,A,"Afundi, Patrick",Course Text,The course materials availed on Blackboard 15 10 3 0 1 29
IST3005,A,"Afundi, Patrick",Course Text,COURSE EVALUATION
IST3005,A,"Afundi, Patrick",Course Text,Most of
IST3005,A,"Afundi, Patrick",Course Text,Sometim Dept All
IST3005,A,"Afundi, Patrick",Course Text,Times
IST3005,A,"Afundi, Patrick",Course Text,I attended classes 3.59 3.65 3.63
IST3005,A,"Afundi, Patrick",Course Text,I was punctual for this class 3.62 3.68 3.65
IST3005,A,"Afundi, Patrick",Course Text,I completed and submitted my assignments 17 10 2 0 29
IST3005,A,"Afundi, Patrick",Course Text,I participated in classroom discussions and 17 9 3 0 29
IST3005,A,"Afundi, Patrick",Course Text,STUDENT SELF EVALUATION
IST3005,A,"Afundi, Patrick",Course Text,15+ 12-14 9-11 7-8 4 -6 1-3 Dept All
IST3005,A,"Afundi, Patrick",Course Text,How much time outside class did you spend
IST3005,A,"Afundi, Patrick",Course Text,on assignment or reading for this course 2.86 3.09 3.11
IST3005,A,"Afundi, Patrick",Course Text,per week?
IST3005,A,"Afundi, Patrick",Course Text,STUDENT SELF EVAL 2
IST3005,A,"Afundi, Patrick",Course Text,Dept All
IST3005,A,"Afundi, Patrick",Course Text,"For this course, I expect to receive a grade 17 7 5 0 0 29"
IST3005,A,"Afundi, Patrick",Course Text,STUDENT SELF EVAL 3
IST3005,A,"Afundi, Patrick",Course Text,Comments
IST3005,A,"Afundi, Patrick",Course Text,Your lecturer would like to know which
IST3005,A,"Afundi, Patrick",Strengths,aspects of his/her teaching you enjoyed most D is c u s s ion
IST3005,A,"Afundi, Patrick",Strengths,and why.
IST3005,A,"Afundi, Patrick",Strengths,TEACHING
IST3005,A,"Afundi, Patrick",Strengths,videos
IST3005,A,"Afundi, Patrick",Strengths,all
IST3005,A,"Afundi, Patrick",Strengths,Presentations
IST3005,A,"Afundi, Patrick",Strengths,evrything
IST3005,A,"Afundi, Patrick",Strengths,Use of relevant examples and vast explanations
IST3005,A,"Afundi, Patrick",Strengths,All
IST3005,A,"Afundi, Patrick",Strengths,"Classes, they were very engaging"
IST3005,A,"Afundi, Patrick",Strengths,Html
IST3005,A,"Afundi, Patrick",Strengths,Good
IST3005,A,"Afundi, Patrick",Strengths,Everything
IST3005,A,"Afundi, Patrick",Strengths,Good
IST3005,A,"Afundi, Patrick",Strengths,slides are understandable
IST3005,A,"Afundi, Patrick",Strengths,The discussions
IST3005,A,"Afundi, Patrick",Strengths,social media platforms exploration
IST3005,A,"Afundi, Patrick",Strengths,good
IST3005,A,"Afundi, Patrick",Strengths,constant engagement
IST3005,A,"Afundi, Patrick",Strengths,Lecture sessions
IST3005,A,"Afundi, Patrick",Strengths,PowerPoints
IST3005,A,"Afundi, Patrick",Strengths,the practical part of everything we did
IST3005,A,"Afundi, Patrick",Strengths,Your lecturer would like to know which
IST3005,A,"Afundi, Patrick",Weaknesses,aspects of his/her teaching you didn't like and not giving cats and quizzes back
IST3005,A,"Afundi, Patrick",Weaknesses,why
IST3005,A,"Afundi, Patrick",Weaknesses,None
IST3005,A,"Afundi, Patrick",Weaknesses,None
IST3005,A,"Afundi, Patrick",Weaknesses,The lack of practical work
IST3005,A,"Afundi, Patrick",Weaknesses,Fair
IST3005,A,"Afundi, Patrick",Weaknesses,Non
IST3005,A,"Afundi, Patrick",Weaknesses,good
IST3005,A,"Afundi, Patrick",Weaknesses,nil
IST3005,A,"Afundi, Patrick",Weaknesses,NONE
IST3005,A,"Afundi, Patrick",Weaknesses,Excellent
IST3005,A,"Afundi, Patrick",Weaknesses,some practical parts that i couldn't understand made it hard for me to understand certain topics
IST3005,A,"Afundi, Patrick",Weaknesses,none
IST3005,A,"Afundi, Patrick",Weaknesses,none
IST3005,A,"Afundi, Patrick",Weaknesses,The power points used in class could have been made clearer
IST3005,A,"Afundi, Patrick",Weaknesses,Your lecturer would also like to know what
IST3005,A,"Afundi, Patrick",Weaknesses,specific things you believe might be done to n/a
IST3005,A,"Afundi, Patrick",Suggestions,improve his/her teaching in this course.
IST3005,A,"Afundi, Patrick",Suggestions,none
IST3005,A,"Afundi, Patrick",Suggestions,post notes on time
IST3005,A,"Afundi, Patrick",Suggestions,use of visual materials
IST3005,A,"Afundi, Patrick",Suggestions,More discussions
IST3005,A,"Afundi, Patrick",Suggestions,none
