Course Code,Section Code,Instructor,Semester,Comment Type,Comment Text,Normalized Name
BUS3020,A,"awuor, emmanuel",Summer Semester 2019 (UNDG),Strengths,.,awuor emmanuel
BUS3020,A,"awuor, emmanuel",Summer Semester 2019 (UNDG),Strengths,good,awuor emmanuel
BUS3020,A,"awuor, emmanuel",Summer Semester 2019 (UNDG),Strengths,N/A,awuor emmanuel
BUS3020,A,"awuor, emmanuel",Summer Semester 2019 (UNDG),Strengths,None,awuor emmanuel
BUS3020,A,"awuor, emmanuel",Summer Semester 2019 (UNDG),Strengths,Descriptive and orientation of the course ..this was perfect.,awuor emmanuel
BUS3020,A,"awuor, emmanuel",Summer Semester 2019 (UNDG),Strengths,good,awuor emmanuel
BUS3020,A,"awuor, emmanuel",Summer Semester 2019 (UNDG),Strengths,good,awuor emmanuel
BUS3020,A,"awuor, emmanuel",Summer Semester 2019 (UNDG),Strengths,Good,awuor emmanuel
BUS3020,A,"awuor, emmanuel",Summer Semester 2019 (UNDG),Strengths,N. A Class activities Practical linkage to the course .,awuor emmanuel
BUS3020,A,"awuor, emmanuel",Summer Semester 2019 (UNDG),Weaknesses,why The tests and assignments didn't seem relevant .,awuor emmanuel
BUS3020,A,"awuor, emmanuel",Summer Semester 2019 (UNDG),Weaknesses,NA,awuor emmanuel
BUS3020,A,"awuor, emmanuel",Summer Semester 2019 (UNDG),Weaknesses,N/A,awuor emmanuel
BUS3020,A,"awuor, emmanuel",Summer Semester 2019 (UNDG),Weaknesses,good,awuor emmanuel
BUS3020,A,"awuor, emmanuel",Summer Semester 2019 (UNDG),Weaknesses,Good,awuor emmanuel
BUS3020,A,"awuor, emmanuel",Summer Semester 2019 (UNDG),Weaknesses,None,awuor emmanuel
BUS3020,A,"awuor, emmanuel",Summer Semester 2019 (UNDG),Weaknesses,none,awuor emmanuel
BUS3020,A,"awuor, emmanuel",Summer Semester 2019 (UNDG),Weaknesses,None,awuor emmanuel
BUS3020,A,"awuor, emmanuel",Summer Semester 2019 (UNDG),Weaknesses,.,awuor emmanuel
BUS3020,A,"awuor, emmanuel",Summer Semester 2019 (UNDG),Weaknesses,N/A,awuor emmanuel
BUS3020,A,"awuor, emmanuel",Summer Semester 2019 (UNDG),Weaknesses,good,awuor emmanuel
BUS3020,A,"awuor, emmanuel",Summer Semester 2019 (UNDG),Weaknesses,None,awuor emmanuel
BUS3020,A,"awuor, emmanuel",Summer Semester 2019 (UNDG),Weaknesses,none,awuor emmanuel
BUS3020,A,"awuor, emmanuel",Summer Semester 2019 (UNDG),Weaknesses,good,awuor emmanuel
BUS3020,A,"awuor, emmanuel",Summer Semester 2019 (UNDG),Suggestions,ok,awuor emmanuel
BUS3020,A,"awuor, emmanuel",Summer Semester 2019 (UNDG),Suggestions,None,awuor emmanuel
BUS3020,A,"awuor, emmanuel",Summer Semester 2019 (UNDG),Suggestions,.,awuor emmanuel
BUS3020,A,"awuor, emmanuel",Summer Semester 2019 (UNDG),Suggestions,good,awuor emmanuel
BUS3020,A,"awuor, emmanuel",Summer Semester 2019 (UNDG),Suggestions,N/A,awuor emmanuel
BUS3020,A,"awuor, emmanuel",Summer Semester 2019 (UNDG),Suggestions,N/A,awuor emmanuel
BUS3020,A,"awuor, emmanuel",Summer Semester 2019 (UNDG),Suggestions,None,awuor emmanuel
BUS3020,A,"awuor, emmanuel",Summer Semester 2019 (UNDG),Suggestions,None,awuor emmanuel
BUS3020,A,"awuor, emmanuel",Summer Semester 2019 (UNDG),Suggestions,Good,awuor emmanuel
BUS3020,A,"awuor, emmanuel",Summer Semester 2019 (UNDG),Suggestions,NA,awuor emmanuel
BUS3020,A,"awuor, emmanuel",Summer Semester 2019 (UNDG),Suggestions,good,awuor emmanuel
BUS3020,A,"awuor, emmanuel",Summer Semester 2019 (UNDG),Suggestions,.,awuor emmanuel
BUS3020,A,"awuor, emmanuel",Summer Semester 2019 (UNDG),Feedback Evaluation,Good,awuor emmanuel
BUS3020,A,"awuor, emmanuel",Summer Semester 2019 (UNDG),Feedback Evaluation,Fair,awuor emmanuel
BUS3020,A,"awuor, emmanuel",Summer Semester 2019 (UNDG),Feedback Evaluation,N/A,awuor emmanuel
BUS3020,A,"awuor, emmanuel",Summer Semester 2019 (UNDG),Feedback Evaluation,Good,awuor emmanuel
BUS3020,A,"awuor, emmanuel",Summer Semester 2019 (UNDG),Feedback Evaluation,fair,awuor emmanuel
BUS3020,A,"awuor, emmanuel",Summer Semester 2019 (UNDG),Feedback Evaluation,excellent,awuor emmanuel
BUS3020,A,"awuor, emmanuel",Summer Semester 2019 (UNDG),Feedback Evaluation,good,awuor emmanuel
BUS3020,A,"awuor, emmanuel",Summer Semester 2019 (UNDG),Feedback Evaluation,good,awuor emmanuel
BUS3020,A,"awuor, emmanuel",Summer Semester 2019 (UNDG),Feedback Evaluation,Helpful .,awuor emmanuel
BUS3020,A,"awuor, emmanuel",Summer Semester 2019 (UNDG),Feedback Evaluation,Good,awuor emmanuel
BUS3020,A,"awuor, emmanuel",Summer Semester 2019 (UNDG),Feedback Evaluation,N. A .,awuor emmanuel
